Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H3,2017,2017,2017,6,1,1,Import,360,Indonesia,IDN,0,World,WLD,,,,,,,,610220,"Women's/girls' overcoats, car-coats, capes, cloaks, anoraks (incl. ski-jackets), wind-cheaters, wind-jackets & similar articles, knitted/crocheted (excl. of 61.04), of cotton",5,Number of items,,,46891,,24059,,560675,,,6
H3,2017,2017,2017,6,1,2,Export,360,Indonesia,IDN,0,World,WLD,,,,,,,,610220,"Women's/girls' overcoats, car-coats, capes, cloaks, anoraks (incl. ski-jackets), wind-cheaters, wind-jackets & similar articles, knitted/crocheted (excl. of 61.04), of cotton",5,Number of items,,,2128353,,2140763,,32631715,,,6
H3,2017,2017,2017,6,1,1,Import,372,Ireland,IRL,0,World,WLD,,,,,,,,610220,"Women's/girls' overcoats, car-coats, capes, cloaks, anoraks (incl. ski-jackets), wind-cheaters, wind-jackets & similar articles, knitted/crocheted (excl. of 61.04), of cotton",5,Number of items,,,409643,,145832,,4898001,,,2
H3,2017,2017,2017,6,1,2,Export,372,Ireland,IRL,0,World,WLD,,,,,,,,610220,"Women's/girls' overcoats, car-coats, capes, cloaks, anoraks (incl. ski-jackets), wind-cheaters, wind-jackets & similar articles, knitted/crocheted (excl. of 61.04), of cotton",5,Number of items,,,8471,,2491,,129891,,,2
H3,2017,2017,2017,6,1,1,Import,381,Italy,ITA,0,World,WLD,,,,,,,,610220,"Women's/girls' overcoats, car-coats, capes, cloaks, anoraks (incl. ski-jackets), wind-cheaters, wind-jackets & similar articles, knitted/crocheted (excl. of 61.04), of cotton",5,Number of items,,,2565714,,1167193,,33678573,,,4
H3,2017,2017,2017,6,1,2,Export,381,Italy,ITA,0,World,WLD,,,,,,,,610220,"Women's/girls' overcoats, car-coats, capes, cloaks, anoraks (incl. ski-jackets), wind-cheaters, wind-jackets & similar articles, knitted/crocheted (excl. of 61.04), of cotton",5,Number of items,,,659993,,278658,,16686564,,,0
H3,2017,2017,2017,6,1,3,Re-Export,381,Italy,ITA,0,World,WLD,,,,,,,,610220,"Women's/girls' overcoats, car-coats, capes, cloaks, anoraks (incl. ski-jackets), wind-cheaters, wind-jackets & similar articles, knitted/crocheted (excl. of 61.04), of cotton",5,Number of items,,,211,,135,,19840,,,0
H3,2017,2017,2017,6,1,4,Re-Import,381,Italy,ITA,0,World,WLD,,,,,,,,610220,"Women's/girls' overcoats, car-coats, capes, cloaks, anoraks (incl. ski-jackets), wind-cheaters, wind-jackets & similar articles, knitted/crocheted (excl. of 61.04), of cotton",5,Number of items,,,12849,,8563,,423930,,,0
H3,2017,2017,2017,6,1,1,Import,392,Japan,JPN,0,World,WLD,,,,,,,,610220,"Women's/girls' overcoats, car-coats, capes, cloaks, anoraks (incl. ski-jackets), wind-cheaters, wind-jackets & similar articles, knitted/crocheted (excl. of 61.04), of cotton",5,Number of items,,,2138271,,1335650,,25566770,,,2
H3,2017,2017,2017,6,1,2,Export,392,Japan,JPN,0,World,WLD,,,,,,,,610220,"Women's/girls' overcoats, car-coats, capes, cloaks, anoraks (incl. ski-jackets), wind-cheaters, wind-jackets & similar articles, knitted/crocheted (excl. of 61.04), of cotton",5,Number of items,,,25017,,1883,,383562,,,2
